# Copyright (c) 2011 Walter Bender y Pacita Pena,,,,,,
# This work is licensed under a Creative Commons,,,,,,
# Attribution-NonCommercial 3.0 Unported License.,,,,,,
# These words represent Nivel 1 in Spanish,,,,,,
# Use () for highlighted letter in phrase.,,,,,,
# letter, phrase, RGB color, color name, vowel or consonant , sound file,
A, (a)ve, #FFFFFF, ave.png, ave.ogg, a.ogg,                (a)   (a)     \ (a)  (a) (a)   (a) (a) (a) (a) (a)  (a)  (a) (a)\    (a) (a)   (a) (a)  (a)  (a)        \                    (a)   \ (a)  (a) (a)        (a)  (a)  (a) (a)   \ (a) (a)              (a)       (a) \       (a)  (a)    (a)    (a)    (a) \     (a)  (a) (a)           (a) \   (a)      (a)     (a)   (a)    \      (a)    (a)    (a)  (a) (a) (a) \   (a)  (a)   (a)         \      (a)  (a)        (a)   \   (a)                   \   (a)          (A)    \(a)                     \(a)             (a)  (a)  (a)\   (a)     (a)           \ (a)  (a)  (a) (a)      (a)       \(A)       (a)             \ (a) (a)         (a)  (a)  (a)\ (a) (a) (a)                \    (a)                  \             (a)       (a) \ (a)   (a)  (a)           \   (a)        (a)    (a)    \    (a)               \      (a)   (a)        \              (a) (a)    \       (a) (a)    (a)  (a)      \ (a)     (a)   (a)    (a)    \   (a)           (a)   \    (a)                
B, (b)urro, #2080A0, burro.png, burro.ogg, b.ogg,                a   a     \ a  a a   a a a a a  a  a a\    a a   a a  a  a        \                    a   \ a  a a        a  a  a a   \ a a              a       a \       a  a    a    a    a \     a  a a           a \   a      a     a   a    \      a    a    a  a a a \   a  a   a         \      a  a        a   \   a                   \   a          A    \a                  (b)  \a  (b)          a  a  a\   a     a           \ a  a  a a      a       \A       a             \ a a         a  a  a\ a a a                \    a                  \             a       a \ a   a  a           \   a        a    a    \    a               \      a   a        \(b)             a a    \       a a    a  a      \ a     a   a    a    \   a           a   \    a                
C, (c)onejo, #FFC040, conejo.png, conejo.ogg, c.ogg,                a   a     \ a  a a   a a a a a  a  a a\   (c)a a   a a  a  a        \                    a   \ a  a a        a  a  a a   \ a a              a       a \       a  a    a    a    a \     a  a a           a \   a      a     a   a    \      a    a    a  a a a \   a  a   a         \      a  a        a   \   a (c)                 \   a          A    \a                  b  \a  b          a  a  a\   a     a           \ a  a  a a      a       \A      (c)a             \ a a (c)       a  a  a\ a a a                \    a                  \             a       a \ a   a  a (c)         \   a        a    a(c)   \    a               \      a   a        \b             a a    \       a a    a  a      \ a     a   a    a (c)  \   a           a   \    a  (c)      (c)      
D, (d)a(d)o, #20C060, dado.png, dado.ogg, d.ogg,                a   a     \ a  a a   a a a a a  a  a a\   ca a   a a  a  a        \                    a   \ a  a a        a  a  a a (d) \ a a         (d)    a       a \       a  a    a    a    a \ (d)   a  a a           a \   a      a     a   a  (d) \      a    a    a  a a(d)a \   a (d)a   a         \      a  a        a   \   a c                 \   a          A    \a       (d)          b  \a  b          a  a  a\   a     a           \ a  a  a a      a   (d)   \A      ca             \ a a c       a  a  a\ a a a                \    a      (d)           \      (d)      a       a \ a   a  a c         \   a        a    ac   \    a               \(d)     a   a        \b             a a    \       a a    a  a      \ a     a   a    a c  \   a           a   \    a  c      c      
E, (e)l(e)fant(e), #70A9CE, elefante.png, elefante.ogg, e.ogg,         (e) (e)    a   a (e) (e) \ a  a a   a a a a a  a  a a\(e)  ca a   a a  a  a      (e) \(e)          (e)  (e)(e)    a (e) \ a  a a        a  a  a a d(e)\ a a  (E)      d(e)   a (e)     a \ (e) (e)   a  a    a    a    a \ d   a (e)a a           a \   a      a     a   a  d(e)\ (e)    a    a (e)  a  a ada \   a da   a (e)       \      a (e)a (e)  (e)   a (e) \   a c  (e)       (E)      \ (e) a          A  (e) \a  (e)    d    (e)     b (e)\a  b      (E)   a  a  a\(e)  a (e)   a   (e)  (e)  (E) \ a  a  a a      a   d(e)  \A (e)    ca (e)           \ a a c       a  a  a\ a a a  (E)     (e)    (e) (e)\(e)   a  (e) (e) d(e)   (e)     (e)\ (e)  (e) d(e) (e)   a (e)     a \ a (e) a  a c    (e)   (e)\ (e) a    (e)   a    ac   \    a (e)            (e)\d(e)    a   a (e) (e)  (e) \b         (E)   a a (e)  \  (e) (e)  a a    a  a   (e)  \ a     a   a    a c  \   a           a  (e)\  (e) a  c   (e)  c  (e)   
F, (f)lor, #C160D2, flor.png, flor.ogg, f.ogg,         e e    a   a e e \ a  a a   a a a a a  a  a a\e  ca a   a a  a  a      e \e          e  ee    a e \ a  a a        a  a  a a de\ a a  E      de   a e     a \ e e   a  a    a    a    a \ d   a ea a           a \   a      a     a   a  de\ e    a    a e  a  a ada \   a da   a e       \      a ea e  e   a e \   a c  e       E      \ e a          A  e \a  e    d    e     b e\a  b      E  (f)a  a  a\e  a e   a (f) e  e  E \(f)a  a  a a      a (F) de  \A e    ca e      (f)    \ a a c       a  a  a\ a a a  E     e    e e\e   a  e e de   e     e\ e  e de e   a e     a \ a e a  a c    e   e\ e a    e   a    ac   \    a e            e\de    a   a e e  e \b         E   a a e  \  e e  a a    a  a   e  \ a     a   a    a c  \   a           a  e\  e a  c   e  c  e   
G, (g)ato, #A0A0A0, gato.png, gato.ogg, g.ogg,         e e    a   a e e \ a  a a   a a a a a  a  a a\e  ca a   a a  a  a      e \e          e  ee    a e \ a  a a        a  a  a a de\ a a  E      de   a e     a \ e e   a  a    a    a    a \ d   a ea a           a \   a      a     a  (g)a  de\ e    a    a e  a  a ada \   a da   a e       \      a ea e  e   a e \   a c  e       E      \ e a          A  e \a  e    d    e     b e\a  b      E  fa  a  a\e  a e   a f e  e  E \fa  a  a a      a F de  \A e    ca e      f    \ a a c       a  a  a\ a a a  E     e    e e\e   a  e e de   e     e\ e  e de e   a e     a \ a e a  a c    e   e\ e a    e   a    ac   \    a e            e\de    a   a e e  e \b         E   a a e  \  e e  a a    a  a   e  \ a     a   a    a c  \   a           a  e\  e(g)a  c   e  c  e   
H, (h)elado, #FFFFFF, helado.png, helado.ogg, h.ogg,         e e    a   a e e \ a  a a   a a a a a  a  a a\e  ca a   a a  a  a      e \e          e  ee    a e \ a  a a        a  a  a a de\ a a  E      de   a e     a \ e e   a  a    a    a    a \ d   a ea a           a \   a      a     a  ga  de\ e    a    a e  a  a ada \   a da   a e       \      a ea e  e   a e \   a c  e       E      \ e a          A  e \a  e    d    e  (h)  b e\a  b      E  fa  a  a\e  a e   a f e  e  E \fa  a  a a      a F de  \A e    ca e      f    \ a a c       a  a  a\ a a a  E     e    e e\e   a  e e de   e     e\ e  e de e   a e     a \ a e a  a c    e   e\ e a    e   a    ac   \    a e            e\de    a   a e e  e \b         E   a a e  \  e e  a a    a  a   e  \ a     a   a    a c  \   a           a  e\  ega  c   e  c  e   
I, (i)gles(i)a, #DE1C23, iglesia.png, iglesia.ogg, i.ogg,  (i) (i)    e e    a   a e e \ a  a a   a a a a a  a  a a\e  ca a   a a  a  a      e \e          e  ee    a e \ a  a a        a  a  a a de\ a a  E      de  (i)a e   (i) a \ e e   a  a  (i) a    a  (i) a \ d(i)  a ea a         (i) a \   a    (i) a     a (i)ga  de\ e    a    a e  a  a ada \   a da   a e       \   (i)  a ea e  e   a e \ (i) a c  e  (i) (i)  E   (i) (i)\ e a     (i)    A  e \a  e    d(i)   e  h  b e\a  b      E  fa  a  a\e  a e   a f e  e  E \fa  a  a a      a F(i)de  \A e    ca e   (i)  f    \ a a c     (i) a  a  a\ a a a  E  (i)  e   (i)e e\e   a  e e de   e     e\ e  e de e   a e   (i) a \ a e a  a c    e(i)  e\ e a    e   a    ac(i)  \    a e   (i)        e\de    a   a e e  e \b   (i)     E   a a e  \ (i)e e  a a (i)  a  a   e  \ a    (i)a   a    a c  \   a     (i)     a(i) e\  ega  c   e  c  e   
J, (j)irafa, #C93C7E, jirafa.png, jirafa.ogg, j.ogg,  i i    e e    a   a e e \ a  a a   a a a a a  a  a a\e  ca a   a a  a  a      e \e          e  ee    a e \ a  a a        a  a  a a de\ a a  E      de  ia e   i a \ e e   a  a  i a    a  i a \ di  a ea a         i a \   a    i a     a iga  de\ e    a    a e  a  a ada \   a da   a e       \   i  a ea e  e   a e \ i a c  e  i i  E   i i\ e a     i    A  e \a  e    di(j)  e  h  b e\a  b      E  fa  a  a\e  a e   a f e  e  E \fa  a  a a      a Fide  \A e    ca e   i  f    \ a a c     i a  a  a\ a a a  E  i  e   ie e\e   a  e e de   e     e\ e  e de e   a e   i a \ a e a  a c    ei  e\ e a    e   a    aci  \    a e   i        e\de(j)   a   a e e  e \b   i     E   a a e  \ ie e  a a i  a  a   e  \ a    ia(j)  a    a c  \   a  (J)  i    (J)ai e\(j) ega  c   e  c  e(j)  
