# Copyright (c) 2011 Walter Bender y Pacita Pena,,,,,,
# This work is licensed under a Creative Commons,,,,,,
# Attribution-NonCommercial 3.0 Unported License.,,,,,,
# These words represent Nivel 1 in Spanish,,,,,,
# Use CAPS for highlighted letter in phrase.,,,,,,
# letter, phrase, RGB color, color name, vowel or consonant, sound file,
Y, el Yate, #BA6C71, rosa, consonant, y-como-yate.ogg, Yolanda usa el YoYo \Yumi pasea en el Yate \ i a come  i i  el  i i\pesa un  ilo  a  e \a  e    di o el  om  e\al  u  o  el  antasma\esta en la  uente  el\ antasma asusto a  idel \ale  toca el  ilo ono \ ata como pi as a la\ma ana  en i  e   ie e\el pa  ete de   eso   e\se  ende en la es  ina \ anesa  a con  einte\ elas y el  aso  acio \  o a el ni o po   e\de o la   a e en el\ olsi  o  el  apate o\tiene  apati  as a ules \ aul  iajo a  oma con\ osa  julio y jaime\juegan con el conejo 
F, la Flor, #C160D2, morado, consonant, f-como-flor.ogg, yolanda usa el yoyo \yumi pasea en el yate \ i a come  i i  el  i i\pesa un  ilo  a  e \a  e    di o el  om  e\al  u  o  el Fantasma\esta en la Fuente  el\Fantasma asusto a Fidel \ale  toca el  iloFono \ ata como pi as a la\ma ana  en i  e   ie e\el pa  ete de   eso   e\se  ende en la es  ina \ anesa  a con  einte\ elas y el  aso  acio \  o a el ni o po   e\de o la   a e en el\ olsi  o  el  apate o\tiene  apati  as a ules \ aul  iajo a  oma con\ osa  julio y jaime\juegan con el conejo 
Ñ, el Ñandú, #80C040/#C93C7E, verde, consonant, n-como-nandu.ogg, yolanda usa el yoyo \yumi pasea en el yate \ i a come  i i  el  i i\pesa un  ilo  a  e \a  e    di o el  om  e\al  u  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \ale  toca el  ilofono \Ñata como piÑas a la\maÑana  en i  e   ie e\el pa  ete de   eso   e\se  ende en la es  ina \ anesa  a con  einte\ elas y el  aso  acio \  o a el niÑo po   e\de o la   a e en el\ olsi  o  el  apate o\tiene  apati  as a ules \ aul  iajo a  oma con\ osa  julio y jaime\juegan con el conejo 
QU, el QUeso, #FFC040, amarillo, consonant, q-como-queso.ogg, yolanda usa el yoyo \yumi pasea en el yate \ i a come  i i  el  i i\pesa un  ilo  a  e \a  e    di o el  om  e\al  u  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \ale  toca el  ilofono \ñata como piñas a la\mañana  en iQUe QUie e\el paQUete de QUeso QUe\se  ende en la esQUina \ anesa  a con  einte\ elas y el  aso  acio \  o a el niño po QUe\de o la   a e en el\ olsi  o  el  apate o\tiene  apati  as a ules \ aul  iajo a  oma con\ osa  julio y jaime\juegan con el conejo 
R, el Ratón, #F08020, naranja, consonant, r-como-raton.ogg, yolanda usa el yoyo \yumi pasea en el yate \ i a come  i i  el  i i\pesa un  ilo  a  e \a  e    di o el  om Re\al  u  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \ale  toca el  ilofono \ñata como piñas a la\mañana  enRique quieRe\el paquete de queso que\se  ende en la esquina \ anesa  a con  einte\ elas y el  aso  acio \  oRa el niño poRque\de o la   a e en el\ olsi  o  el  apateRo\tiene  apati  as a ules \Raul  iajo a Roma con\Rosa  julio y jaime\juegan con el conejo 
V, la Vaca, #2080A0, azul, consonant, v-como-vaca.ogg, yolanda usa el yoyo \yumi pasea en el yate \ i a come  i i  el  i i\pesa un  ilo  a  e \a  e    di o el  om re\al  u  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \ale  toca el  ilofono \ñata como piñas a la\mañana  enrique quiere\el paquete de queso que\se Vende en la esquina \Vanesa Va con Veinte\Velas y el Vaso Vacio \  ora el niño porque\de o la   aVe en el\ olsi  o  el  apatero\tiene  apati  as a ules \raul Viajo a roma con\rosa  julio y jaime\juegan con el conejo 
B, el Burro, #2080A0, azul, consonant, b-como-burro.ogg, yolanda usa el yoyo \yumi pasea en el yate \ i a come  i i  el  i i\pesa un  ilo  a  e \a  e    di o el  omBre\al Bu  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \ale  toca el  ilofono \ñata como piñas a la\mañana  enrique quiere\el paquete de queso que\se vende en la esquina \vanesa va con veinte\velas y el vaso vacio \  ora el niño porque\de o la   ave en el\Bolsi  o  el  apatero\tiene  apati  as a ules \raul viajo a roma con\rosa  julio y jaime\juegan con el conejo 
Z, el Zapato, #7EC93C, verde, consonant, z-como-zapato.ogg, yolanda usa el yoyo \yumi pasea en el yate \ i a come  i i  el  i i\pesa un  ilo  a  e \a  e    di o el  ombre\al bu  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \ale  toca el  ilofono \ñata como piñas a la\mañana  enrique quiere\el paquete de queso que\se vende en la esquina \vanesa va con veinte\velas y el vaso vacio \  ora el niño porque\de o la   ave en el\bolsi  o  el Zapatero\tiene Zapati  as aZules \raul viajo a roma con\rosa  julio y jaime\juegan con el conejo 
K, el Kilo, #FFC040, amarillo, consonant, k-como-kilo.ogg, yolanda usa el yoyo \yumi pasea en el yate \KiKa come Ki i  el Ki i\pesa un Kilo  a  e \a  e    di o el  ombre\al bu  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \ale  toca el  ilofono \ñata como piñas a la\mañana  enrique quiere\el paquete de queso que\se vende en la esquina \vanesa va con veinte\velas y el vaso vacio \  ora el niño porque\de o la   ave en el\bolsi  o  el zapatero\tiene zapati  as azules \raul viajo a roma con\rosa  julio y jaime\juegan con el conejo 
H, el Helado, #FFFFFF, blanco, consonant, h-como-helado.ogg, yolanda usa el yoyo \yumi pasea en el yate \kika come ki i  el ki i\pesa un kilo  a  e \a  e    di o el Hombre\al bu  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \ale  toca el  ilofono \ñata como piñas a la\mañana  enrique quiere\el paquete de queso que\se vende en la esquina \vanesa va con veinte\velas y el vaso vacio \  ora el niño porque\de o la   ave en el\bolsi  o  el zapatero\tiene zapati  as azules \raul viajo a roma con\rosa  julio y jaime\juegan con el conejo 
X, el Xilófono, #7EC93C, verde, consonant, x-como-xilofono.ogg, yolanda usa el yoyo \yumi pasea en el yate \kika come ki i  el ki i\pesa un kilo  a  e \a  e    di o el hombre\al bu  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \aleX toca el Xilofono \ñata como piñas a la\mañana  enrique quiere\el paquete de queso que\se vende en la esquina \vanesa va con veinte\velas y el vaso vacio \  ora el niño porque\de o la   ave en el\bolsi  o  el zapatero\tiene zapati  as azules \raul viajo a roma con\rosa  julio y jaime\juegan con el conejo 
J, la Jirafa, #C93C7E, rosa, consonant, j-como-jirafa.ogg, yolanda usa el yoyo \yumi pasea en el yate \kika come ki i  el ki i\pesa un kilo  a  e \a  e    diJo el hombre\al bu  o  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \alex toca el xilofono \ñata como piñas a la\mañana  enrique quiere\el paquete de queso que\se vende en la esquina \vanesa va con veinte\velas y el vaso vacio \  ora el niño porque\deJo la   ave en el\bolsi  o  el zapatero\tiene zapati  as azules \raul viajo a roma con\rosa  julio y jaime\juegan con el conejo 
RR, el peRRo, #F08020, naranja, consonant, rr-como-perro.ogg, yolanda usa el yoyo \yumi pasea en el yate \kika come ki i  el ki i\pesa un kilo  aRRe \aRRe    dijo el hombre\al buRRo  el fantasma\esta en la fuente  el\fantasma asusto a Fidel \alex toca el xilofono \ñata como piñas a la\mañana  enrique quiere\el paquete de queso que\se vende en la esquina \vanesa va con veinte\velas y el vaso vacio \  ora el niño porque\dejo la   ave en el\bolsi  o  el zapatero\tiene zapati  as azules \raul viajo a roma con\rosa  julio y jaime\juegan con el conejo 
